ID                   |    Creation Date    |   Installing Date   | Device IP Address | Device Name     | Device MAC Address |
---------------------|---------------------|---------------------|-------------------|-----------------|--------------------|
6249F624692468429642 | 2023-07-06 18:59:08 | 2023-07-06 19:03:49 | 81.196.155.15     | DESKTOP-UTFQELE | 68:F7:28:0C:A2:60  |
00000000000000000001 | 2023-07-07 21:39:51 |          -          |         -         |  -              |         -          |
00000000000000000002 | 2023-07-07 21:46:04 |          -          |         -         |  -              |         -          |
00000000000000000003 | 2023-07-07 21:48:13 |          -          |         -         |  -              |         -          |
00000000000000000004 | 2023-07-07 21:51:49 |          -          |         -         |  -              |         -          |
00000000000000000005 | 2023-07-07 21:55:05 |          -          |         -         |  -              |         -          |
00000000000000000006 | 2023-07-07 21:57:09 |          -          |         -         |  -              |         -          |
00000000000000000007 | 2023-07-07 22:02:20 |          -          |         -         |  -              |         -          |
00000000000000000008 | 2023-07-07 22:05:06 | 2023-07-07 22:06:21 | 81.196.155.15     | DESKTOP-UTFQELE | 80:19:34:AD:EC:5F  |
3287BA318A48D8B8686C | 2023-07-07 22:11:35 | 2023-07-07 22:13:08 | 81.196.155.15     | DESKTOP-UTFQELE | 80:19:34:AD:EC:5F  |
30338CE4E6F4D19EE1C0 | 2023-07-08 13:49:59 |          -          |         -         |  -              |         -          |
BC5DEBEB3684DADF191F | 2023-07-08 13:55:51 | 2023-07-08 13:57:04 | 81.196.155.15     | DESKTOP-UTFQELE | 80:19:34:AD:EC:5F  |
36A663592E83A8DFCBDF | 2023-07-08 14:09:34 | 2023-07-08 14:11:15 | 81.196.155.15     | DESKTOP-UTFQELE | 80:19:34:AD:EC:5F  |
01ECBA5675F0865ACF7A | 2023-07-08 14:16:02 | 2023-07-08 14:17:40 | 81.196.155.15     | DESKTOP-UTFQELE | 80:19:34:AD:EC:5F  |
93D1E8DF95FFFD87F489 | 2023-07-19 13:51:22 |          -          |         -         |  -              |         -          |
7A7C453A5F842DDE5AEF | 2023-07-19 13:51:57 |          -          |         -         |  -              |         -          |
2CC43C723E77100ED735 | 2023-07-19 13:54:20 |          -          |         -         |  -              |         -          |
B922218FAECBC44E7B87 | 2023-07-19 13:58:50 |          -          |         -         |  -              |         -          |
2F2EA2CC6AA5AA4A405E | 2023-07-19 14:00:14 |          -          |         -         |  -              |         -          |
9EABAEC8AAC75FD48AEB | 2023-07-19 14:01:34 |          -          |         -         |  -              |         -          |
6D033C8C87CD4655BE4A | 2023-07-19 14:03:09 |          -          |         -         |  -              |         -          |
D026D98D84611F631937 | 2023-07-19 14:08:35 |          -          |         -         |  -              |         -          |
9DBA57F95789D59E19ED | 2023-07-19 14:09:52 |          -          |         -         |  -              |         -          |
C87F87203E5E8F8C9811 | 2023-07-19 14:12:06 |          -          |         -         |  -              |         -          |
1A3D259822689E45AEEC | 2023-07-19 14:15:53 |          -          |         -         |  -              |         -          |
A935A2C3B82F4F416886 | 2023-07-19 14:16:26 |          -          |         -         |  -              |         -          |
A9FF9D37B5856A09A6C7 | 2023-07-19 14:19:47 |          -          |         -         |  -              |         -          |
F9DBE8B7FD76C0276E70 | 2023-07-19 14:28:39 |          -          |         -         |  -              |         -          |
F51F5BE710FB4FB82106 | 2023-07-19 14:34:53 |          -          |         -         |  -              |         -          |
3B23BB65DF496AF8E638 | 2023-07-19 14:37:24 |          -          |         -         |  -              |         -          |
678263276497ADC37E08 | 2023-07-19 14:40:20 | 2023-07-19 14:42:09 | 81.196.155.15     | DESKTOP-UTFQELE | 80:19:34:AD:EC:5F  |
