A78B56A9D042FFD9: Stade de France, Saint-Denis (80000)
BE8816B9013197FF: Stade Velodrome, Marseille (67000)
61560C73D4C43C9B: Parc OL, Lyon (59500)
920529BABD8038C0: Stade Pierre Mauroy, Lille (50186)
73D72455C13857EF: Parc des Princes, Paris (48712)
06DA01CC9FFC8582: Stade Bordeaux-Atlantique, Bordeaux (42566)
10E7A3512559CA65: Stade Geoffroy-Guichard, Saint-Etienne (41965)
4DA868BD82BD8A64: Stade Bollaert-Delelis, Lens (41229)
33C52A6F0FF3DF6F: Stade de La Beaujoire, Nantes (38128)
918D6BD5EB0A530C: Stade Allianz Riviera, Nice (35624)
69EBD94FDF8C6847: Stadium Municipal, Toulouse (35575)
BFA648AEC454DDAE: Stade de la Mosson, Montpellier (32900)
A8E002790A836A44: Roazhon Park, Rennes (31127)
A718DCE8A2E97E57: Stade de Saint-Symphorien, Metz (26700)
D1FE2C369623B024: Stade de la Meinau, Strasbourg (26280)
49B9835D60F382FE: Stade Oceane, Le Havre (25178)
B237DBFE8B890D9A: Stade Charlety, Paris (25000)
A570D0EB89504AF0: Stade du Hainaut, Valenciennes (25000)
BBB0CB4023405D9D: MMArena, Le Mans (25000)
5C34303749E8101E: Stade Abbe-Deschamps, Auxerre (24493)
8792161043271EA7: Stade Louis-Dugauguez, Sedan (23189)
74D471F6909E059F: Stade de L'Aube, Troyes (21877)
858A28C3E165EA80: Stade Michel d'Ornano, Caen (21500)
B89AE8C8B8D066FC: Stade Auguste-Delaune, Reims (21029)
E29283B32B89CCA1: Stade Marcel-Picot, Nancy (20085)
58448597DF926224: Stade Auguste-Bonal, Montbeliard (20000)
9A82604031189633: Stade des Alpes, Grenoble (20000)
1A5D1FA0A5618576: Stade Raymond Kopa, Angers (18752)
F724F8CB91DEFC43: Stade Francis Le Basser, Laval (18739)
184D665543991425: Stade des Costieres, Nimes (18482)
E6975BC788B3E99A: Stade de Roudourou, Guingamp (18126)
6118F8355FB6C95B: Stade de la Moustoir, Lorient (18110)
2C9E38B2E2E8A6FA: Stade Francois-Coty, Ajaccio (17520)
C8D51B7B53AAA5FA: Parc des Sports, Avignon (17518)
5E5C3819D6DA51CD: Stade Parsemain, Istres (17000)
BD23156E3DE5A77A: Stade Gaston-Petit, Chateauroux (17000)
22E2F594A2F0425C: Stade Armand-Cesari-Furiani, Bastia (17000)
B34C5CD41F9AFD5D: Stade Gaston-Gerard, Dijon (15995)
F96C24C4E87F75A3: Stade Francis-Le Bie, Brest (15097)
16D1FADD5F6692D6: Stade de la Liberation, Boulogne-sur-Mer (15004)
BE1284C98B4D1FDC: Stade Yves-du-Manoir, Colombes (14000)
EF243182BAA47A50: Stade Jean-Laville, Gueugnon (13800)
F88706BD787DFA6D: Stade de la Vallee du Cher, Tours (13500)
045616D1495A7D4F: Parc des Sports, Annecy (12500)
5AE4482F1B06BD11: Stade de l'Epopee, Calais (12432)
F9579C35AA9A8979: Stade Dominique-Duvauchelle, Creteil (12150)
D5D9705489A1CEB0: Stade de la Licorne, Amiens (12097)
E5A80AAA4C099C79: Stade de Sauclieres, Beziers (12000)
26B602D6CAD4EFA2: Stade Francis Turcan, Martigues (11500)
BADBC1250969900F: Stade Marcel-Verchere, Bourg-en-Bresse (11400)
4BFC1B85BA8E2BDB: Stade de l'Ill, Mulhouse (11303)
950881F7489CA783: Stade Robert Diochon, Rouen (11300)
D2190E4592DFC441: Fred-Aubert Stadium, Saint-Brieuc (11000)
BA115B356626D313: Stade Rene-Gaillard, Niort (10988)
B2D88C5382EA9DD7: Stade Gabriel-Montpied, Clermont-Ferrand (10363)
CA38BDC7394FD166: Stade Pierre Brisson, Beauvais (10178)
7C7B1541D100CCDD: Stade Bauer, Paris (10000)
4F8895FDBF4D44FE: Stade du Bram, Louhans (10000)
CB516E3B1FC03943: Stade Paul Debresie, Saint-Quentin (10000)
E4AF6AC7F6B12A84: Stade Pierre du Coubertin, Cannes (10000)
8B90942D0D33E62B: Stade Jean Antoine Moueix, Libourne (8200)
F212A845D7A42A53: Stade de la Montee Rouge, Chatellerault (8033)
536C9B39291E2D6A: Stade Michel-Hidalgo, Saint-Gratien (8000)
E7A23D91C92475C8: Stade de la Rabine, Vannes (8000)
F4BEE7009FD943B4: Stade de la Source, Orleans (8000)
E0DE2B76378708B9: Stade Ange Casanova, Ajaccio (8000)
F745C6DCBD3767E7: Stade Louis Michel, Sete (8000)
84AC64612E2E8BE1: Stade Bon Rencontre, Toulon (8000)
97D3AB8D806B7452: Stade Jacques Rimbault, Bourges (8000)
F82D1F25ED49D9C3: Stade Maurice Postaire, Cherbourg-Octeville (7000)
6F16EE39421A33B8: Stade Guy Piriou, Concarneau (7000)
5E0FA73541992DA9: Stade Colmar, Colmar (7000)
ADEB5EE26B54DA1A: Stade Jean de Mouzon, Lucon (7000)
824FCCC625BBA36C: Parc des Sports, Haguenau (7000)
4137A096ED63EFE0: Stade des Allees Jean Leroi, Blois (7000)
FF8021945EC0E966: Stade Camille-Lebon, Angouleme (6500)
A4F853ADA693947D: Stade de Montbauron, Versailles (6208)
9961F87E30D363E9: Stade Jules Ladoumegue, Romorantin-Lanthenay (6200)
937ED43E75BB5943: Stade de Colombiere, Epinal (6000)
159B8AD390CCCC1D: Stade Paul Gasser, Raon-L'Etape (6000)
88DB79B09BDF68CB: Stade des Alouettes, Montceau-les-Mines (6000)
D23122B04B60EB94: Stade de l'Argente, Mont-de-Marsan (6000)
40B556F938DCC37D: Stade Paul Lignon, Rodez (5955)
22C2B849D4F59CDE: Stade de Balmont, Lyon (5600)
89DE027C43795BF2: Stade Sezian, Belfort (5500)
3CCD03C4A2AEFAEF: Stade du Schlossberg, Forbach (5400)
9B110CFA93D11513: Stade Ludovic Giuly, Chasselay (5000)
CA8B6B474267CA8B: Stade Armand Chouffet, Villefranche-sur-Saone (5000)
34FB1A6E9C90D67D: Stade Municipal de Moirans, Lavans-Les-Saint-Claude (5000)
F0D474A9EDECF57E: Stade de Kerveguen, Plabennec (5000)
A5531AD61EFB7919: Stade Aime Bergeal, Mantes-la-Ville (5000)
057598BE456B9C80: L'Envol Stadium, Andrezieux-Boutheon (5000)
17FF1FF36E3235AA: Stade Fernand Sastre, Sens (5000)
553804E52DA1DAC2: Stade Charles Massot, Le Puy-en-Velay (4800)
2E7281124B33719B: Stade Sainte-Germain, Bordeaux (4796)
1D7E7FABC16661A8: Stade Jean-Dasnias, Saint-Aubin-sur-Scie (4776)
21F72A73C079C45D: Stade Andre Coel, Roye (4600)
6152634B75832896: Stade Rene Fenouillere, Avranches (4600)
384E7321432BD462: Stade Murzeau, Fontenay-le-Comte (4500)
3140548F1BB4AA0D: Stade Marcel-Tribut, Dunkerque (4200)
C1ECFB52F3D63C9A: Stade Nouste Camp, Pau (4031)
4972E95705142862: Stade Municipal de Balma, Balma (4000)
E246B7C1BA7517B9: Stade le Cesne, Marseille (3500)
0F31F0C12F043BA6: Stade Vincent et Robert Girard, Vertou (3500)
595F64427BAAB9C6: Stade Leo Lagrange, Poissy (3500)
40E3A6A186746001: Stade Didier Deschamps, Bayonne (3500)
E868EE57BA6375B5: Stade Municipal Vitre, Vitre (3500)
BCBB2E7AF2B55DA2: Stade Jaques Level, Chambery (3500)
4CCFD31FF3095EDF: Stade du Moulin-Boisseau, Carquefou (3500)
9B107C5A27CC8BD6: Stade Adolphe Cheron, Saint-Maur-des-Fosses (3500)
6874750B083C7ABD: Stade Hector Rolland, Moulins (3500)
4F2103074069A5BD: Stade Saint-Michel, Canet-en-Roussillon (3400)
E6E0E0BFEA92ADDF: Stade Municipal du Faubourg de Verdun, Pontivy (3140)
AE34A1446F01877A: Stade Leo Lagrange, Sainte-Genevieve-des-Bois (3000)
A33587FF09716A3C: Stade Saint-Lazare, Limoges (3000)
5499D8E96AC01D5D: Stade Degouve Brabant, Arras (3000)
CF2D96A06829E0D0: Stade Omnisports, Sarre-Union (3000)
82700AB89EA21D38: Stade Marcel Vignaud, Avoine (3000)
608AB514A46F08BF: Stade Massabielle, Les Herbiers (3000)
4B54AA21D259D91B: Stade Pourcin, Frejus (3000)
4484CF340131F20A: Stade Firmin Daudou, Trelissac (3000)
87169B066B2C3461: Stade Maurice Trelut, Tarbes (3000)
97ED657357F7B3A3: Stade Jean Jaures, Saint-Priest (3000)
2220AA6DEC9FC67E: Stade Adrien Gilly, Manosque (2850)
FB32A9836A971610: Stade Andre Karman, Aubervilliers (2500)
BE920E5A45C117AF: Stade Charles Sage, Drancy (2500)
B5F97872017F9F44: Stade Marville, Saint-Malo (2500)
D6F01A2B4CB7C53F: Stade Amable Lozai, Le Petit-Quevilly (2500)
013B39372EF75AEC: Stade de l'Aar, Schiltigheim (2500)
2A0EF88DA895EB5E: Stade de la Frontiere, Saint-Louis (2400)
ED05AF7BA4B0F720: Stade Didier Eloy, Feignies (2300)
CAB4846DFD90DD95: Stade de Bellevue, Yzeure (2135)
C4DDDB7D190F2FE6: Stade Marcel Bec, Meudon (2000)
141C385845303848: Stade Clerville, Ivry-sur-Seine (2000)
170FF2E1B82BA3E8: Stade Henri Seigneur, Croix (2000)
363EC66BB51440EA: Stade Auguste Gentelet, Fleury-Merogis (2000)
92F532357D868D15: Stade Boutroux, Paris (2000)
6FAB026DCD049781: Stade Le Grand Clos, Saint-Pryve-Saint-Mesmin (1800)
