349249A359F4B578: Signal Iduna Park, Dortmund (81365)
7E621C0458E1FCA9: Allianz Arena, Munchen (75000)
71F21945A63C8CED: Olympiastadion, Berlin (74649)
478B26546118682E: Veltins Arena, Gelsenkirchen (61973)
39BC4AD879B7EB52: Mercedes-Benz Arena, Stuttgart (60449)
144C3F4C5AB33ADC: Volksparkstadion, Hamburg (57000)
370D3788E19E2D33: Borussia-Park, Monchengladbach (54022)
5048100B16E56C36: Deutsche Bank Park, Frankfurt (51500)
DD9C4000BC5FC0D1: Merkur Spiel-Arena, Dusseldorf (51500)
4E5DCAF590FA554C: RheinEnergieStadion, Koln (50374)
F31EF0DFD441CD02: Max-Morlock-Stadion, Nurnberg (50000)
42A41D48E13FE25C: Fritz-Walter-Stadion, Kaiserslautern (49780)
2253D802C7EAB37F: HDI-Arena, Hannover (49000)
DCD47A654D05E967: Red Bull Arena, Leipzig (44345)
33E0054E797AE2AC: Weserstadion, Bremen (43087)
DB31DF10EEA178A2: Ludwigspark, Saarbrucken (35503)
343E9EDF5CCE2580: SC-Stadion, Freiburg (34700)
CCFBD04EEDCD6AFC: Grotenburg-Stadion, Krefeld (34500)
895A901865DEA862: MEWA Arena, Mainz (34034)
8E13B0F4A747AED5: Neuer Tivoli Stadion, Aachen (32960)
AC094423F0125654: Rosenaustadion, Augsburg (32354)
16C9AD936E92FCA8: Wildparkstadion, Karlsruhe (32306)
CF10FAFBDD6CC0A1: Stadion Dresden, Dresden (32066)
78AEF75FF3EA82F7: Schauinsland-Reisen-Arena, Duisburg (31500)
94DC4299804404F7: BayArena, Leverkusen (30810)
CA66169DBBC7B504: WWK Arena, Augsburg (30660)
9F8548C07A390A93: Rhein-Neckar-Arena, Sinsheim (30164)
F46B03AAD7A00946: Volkswagen Arena, Wolfsburg (30122)
12742E9BB4CDBCA3: Millerntor-Stadion, Hamburg (29546)
6B8DBFAB33C5A776: Ruhrstadion, Bochum (29299)
6EA18BC811E0A548: Ostseestadion, Rostock (29000)
5A811EE9F0978447: Schuco Arena, Bielefeld (27300)
08A30CB550086A9E: MDCC-Arena, Magdeburg (27250)
1AAD37358514B70F: Carl-Benz-Stadion, Mannheim (27000)
7E79DA6EDCD8587B: Eintracht Stadion, Braunschweig (23500)
4911FB0A6E487DC7: Stadion am Zoo, Wuppertal (23067)
4FB14DDB19B74F3F: Stadion der Freundschaft, Cottbus (22450)
5CE8B02635483BC4: Alte Forsterei Stadion, Berlin (22012)
F972F4C9308448FB: Waldstadion Homburg, Homburg (21813)
26A4F27D6FC31ED4: Hans-Walter-Wild-Stadion, Bayreuth (21500)
A5CBF5FBCF6ABC71: Georg Melches Stadion, Essen (21500)
FA60CC462E5FEED7: Niederrheinstadion, Oberhausen (21318)
A38CAC21E144D90A: Sparda Bank Hessen Stadium, Offenbach am Main (20500)
DF8CDC8EDDD3546B: Stadion am Bruchweg, Mainz (20300)
DD486972A53C4E67: Steigerwaldstadion, Erfurt (20000)
E9F4F7D543DBCF23: Grune Au Stadion, Hof (20000)
1364BC60046571B3: Friedrich-Ludwig-Jahn-Sportpark, Berlin (19708)
BA14A8003107D4B5: Donaustadion, Ulm (19500)
87D8AF8B1E53B1FC: Leimbachstadion, Siegen (18500)
91A48E0FF6A5E38D: Auestadion, Kassel (17993)
1F31C726B4FF0AA5: Stadion an der Lohmuhle, Lubeck (17849)
C3E2FEF4AA7BE9EF: VfL-Stadion am Elsterweg, Wolfsburg (17600)
B13639B9C9022BCC: Stadion am Bollenfalltor, Darmstadt (17468)
48F607A4B900639F: MEP-Arena, Meppen (16500)
16E3B95CBA0EA6B6: Erzgebirgsstadion, Aue (16485)
B5563BD1FD12D0A6: Lohrheidestadion, Wattenscheid (16233)
840F1735FF738B07: Stadion an der Bremer Brucke, Osnabruck (16100)
DB5D2AE59596B079: Stadion an der Gellertstrasse, Chemnitz (16061)
888C8DBB540E9E05: Audi Sportpark, Ingolstadt (15800)
A2A2B0E6A51E02C3: Ernst Abbe Stadion, Jena (15610)
44055EED562D2C7B: Sportpark Ronhof, Furth (15606)
0A23BB81A7125658: Bruno-Plache-Stadion, Leipzig (15600)
59513B554558356D: BWT-Stadion am Hardtwald, Sandhausen (15414)
8A6BE1C481FCE56C: Jahnstadion Regensburg, Regensburg (15210)
6DAD01A4545E3015: Marschweg-Stadion, Oldenburg (15200)
10BBEF0810C06EAB: Erdgas Sportpark, Halle (15057)
D5E7DDC0E7E2F63D: Alpenbauer Sportpark, Unterhaching (15053)
7D1DAF9586795AAE: Preussen-Stadion, Munster (15050)
CC77BE02A7D97999: Holstein-Stadion, Kiel (15034)
79732BBCC42CFE3C: Mommsenstadion, Berlin (15005)
B9EBF2D96B14F21C: Oberwerth Stadion, Koblenz (15000)
776AA22F33DD0372: Benteler-Arena, Paderborn (15000)
8D76AD8D173B9DEB: Grunwalder Stadion, Munchen (15000)
73A7442C3194F4D2: Voith-Arena, Heidenheim (15000)
EA46482FAB91620D: Willy-Sachs-Stadion, Schweinfurt (15000)
8522CC0C70B93886: Sudstadion, Koln (14944)
9FB17A9EBD0090BC: Brita Arena, Taunusstein (13500)
29299F5902FF95FB: Mondpalast-Arena, Herne (13500)
F134B1795CD096A8: Scholz-Stadion, Aalen (13251)
3F3FF372BAF6B432: Flyeralarm Arena, Wurzburg (13090)
60EED8DA8A676990: Kreuzeiche Stadion, Reutlingen (12734)
CEB34ADA3B38958B: Wacker-Arena, Burghausen (12500)
3179DCE166FE1DBE: Sportpark Hohenberg, Koln (12000)
AC44E42CB325C991: Hermann-Neuberger-Stadion, Volklingen (12000)
6945986100A7EC52: Stadion an der Dusternortstrasse, Delmenhorst (12000)
8490EF0E538F7032: Waldaustadion, Stuttgart (11544)
AFF8CFD9D13A02E0: Tuja-Stadion, Ingolstadt (11400)
2E248C159805D8A8: Stadion Hoheluft, Hamburg (11000)
14D920E8AE579B86: Wersestadion, Ahlen (10500)
4B6C9EA117D1B7CC: Karl-Liebknecht-Stadion, Potsdam (10499)
48C3A6B03CE492A4: Frankfurter Volksbank Stadion, Frankfurt (10470)
9E83845384802BCF: Moselstadion, Trier (10256)
EA0D774EE5A3055F: Sportpark Nord, Bonn (10164)
CE988163C6F7426A: Comtech Arena, Aspach (10000)
BF7825E9C7230108: Poststadion, Berlin (10000)
AF7099C7671C0EC8: Geberit-Arena, Pfullendorf (10000)
04DCFA6CBA666335: Grenzlandstadion, Monchengladbach (10000)
FE26D213095908FA: Sportpark Husterhohe, Pirmasens (10000)
