DE91DA4F98FCCFD7: Johan Cruyff Arena, Amsterdam (54033)
5EF5E50B28379D37: De Kuip Arena, Rotterdam (51117)
9288F748FF318326: Philips Stadion, Eindhoven (35119)
40E2D29C7D9826FC: De Grolsch Veste Stadion, Enschede (30205)
BFC027C108BA056C: Abe Lenstra Stadion, Heerenveen (26100)
89B96D5419ECFDAB: Gelredome Stadion, Arnhem (25000)
F88489FEEB378729: Stadion Galgenwaard, Utrecht (24426)
0496D777B3354AA6: Euroborg Stadion, Groningen (22550)
5717BC04D344F600: Parkstad Limburg Stadion, Kerkrade (19979)
CE2E036DADA210ED: Rat Verlegh Stadion, Breda (19000)
0A04410246362263: Sportpark Brasserskade, Delft (18000)
A3F1D19C30C97173: AFAS Stadion, Alkmaar (17023)
BE2C55F1B081960E: Cars Jeans Stadion, Den Haag (15000)
C21BAD79CA6FBFA8: Koning Willem II Stadion, Tilburg (14500)
7781A6E1513DC994: MACPARK Stadion, Zwolle (14000)
AD7FABFA49F5A884: De Vijverberg Stadion, Doetinchem (12600)
16738E2F2B8E11AD: Goffertstadion, Nijmegen (12500)
A4D165F259DEB329: Fortuna Sittard Stadion, Sittard (12500)
A01857CD3ED51255: Erve Asito Stadion, Almelo (12080)
C7969F9F866A7F6C: Het Kasteel Stadion, Rotterdam (11026)
9FC272B8C050FC97: Cambuur Stadion, Leeuwarden (10250)
EF0592CF178E37C7: De Geusselt Stadion, Maastricht (10000)
7BA9A15594076725: De Oude Meerdijk Stadion, Emmen (8600)
C4AE2C389A6B1391: De Vliert Stadion, 's-Hertogenbosch (8500)
4E59BB3E08101AF3: Sportpark de Westmaat, Spakenburg (8200)
972DF7D1DF9233C8: De Koel Stadion, Venlo (8000)
9B8991AEDC2287F3: Mandemakers Stadion, Waalwijk (7500)
6986268BAC0C5C24: Kras Stadion, Volendam (7383)
2920A6ADF06C726C: Sportpark Ter Specke, Lisse (7000)
493E8AAA2A8F1FD7: Adelaarshorst Stadion, Deventer (6750)
