C9FB34E913947E5D: Estadio da Luz, Lisboa (65647)
B52792DD5EED9F32: Estadio do Dragao, Porto (50948)
51D10EB2DCB4BE70: Estadio Jose Alvalade, Lisboa (50095)
3E33A262CCD4004B: Estadio Municipal de Aveiro, Aveiro (30498)
3D9F22B272E78894: Estadio Municipal de Braga, Braga (30286)
90784A501A46CD3E: Estadio D. Alfonso Henriques, Guimaraes (30165)
50F6720A981C38F8: Estadio Cidade de Coimbra, Coimbra (30154)
14951A895E863636: Estadio 1 de Maio, Braga (30000)
2E24109E692E3498: Estadio Algarve, Faro (30000)
788779C6EBC8BA6C: Estadio Dr. Magalhaes Pessoa, Leiria (29900)
EA087AD7F980ED11: Estadio do Bessa, Porto (28263)
A27BB0342294BF54: Estadio Alfredo da Silva, Barreiro (22000)
A1B17E91D82D8535: Estadio do Bonfim, Setubal (21530)
6EF4D3C2162C5131: Estadio Municipal de Amarante, Amarante (16800)
7D88550BE9AC6261: Estadio Jose Vieira, Maia (16000)
004AB51F272EBC9D: Estadio Sao Miguel, Ponta Delgada (15277)
E785FC94DF9B8172: Estadio Campo Domingos Carrilho Patalino, Elvas (15000)
A6B7C4D67FEB44A6: Estadio Conde Dias Garcia, Sao Joao da Madeira (15000)
894ED8CEC4EAF4CD: Estadio da Tapadinha, Lisboa (15000)
6A3AEBF5028890AD: Estadio Dr. Machado de Matos, Porto (15000)
73E53FBD02C8B7C3: Estadio do Fontelo, Viseu (14368)
ABB1C3B0C94F6717: Estadio Campo da Mata, Caldas da Rainha (13000)
1260F47EC281C0E9: Estadio dos Arcos, Vila do Conde (12820)
4AD6BEADD1BA5625: Estadio do Mar, Matosinhos (12500)
B06DB9EB225E837C: Estadio Cidade de Barcelos, Barcelos (12374)
93506FD03181042D: Estadio do Lusitania FC Lourosa, Lourosa (12000)
4329E940714FBA64: Estadio Abel Alves de Figueiredo, Santo Tirso (12000)
858307010A074893: Estadio das Seixas, Malveira (12000)
6F5B009BB7583650: Estadio Municipal Vale do Romeiro, Castelo Branco (12000)
E7A5009B62AF9B07: Estadio de Sao Luis, Faro (12000)
2D79F49CB24BE047: Estadio Municipal Eng. Manuel Branco Teixeira, Chaves (12000)
18A8F65AB4E8AAFA: Estadio Manuel Marques, Torres Vedras (12000)
1A042B578B5C623D: Estadio 1 de Maio, Montemor-o-Novo (11350)
4F87C1389DE14B32: Estadio Engenheiro Vidal Pinheiro, Paranhos (11000)
6460EAC8FCC74EEF: Estadio do Maritimo, Funchal (10932)
C248A637D7F70F17: Estadio do Canelas Gaia Futebol Clube, Vila Nova de Gaia (10800)
41AF7D5FDC653698: Clube Desportivo das Aves, Vila das Aves (10250)
9542977C8E95400B: Estadio do Leca Futebol Clube, Matosinhos (10001)
CA44D0252507C849: Estadio 1 de Dezembro, Foz de Sousa (10000)
