B0DA62F0996EB97F: Camp Nou, Barcelona (99359)
843E00551516CB1D: Estadio Santiago Bernabeu, Madrid (85454)
A415848577A18910: Estadio Wanda Metropolitano, Madrid (68000)
5CBED53475022AC3: Estadio Benito Villamarin, Sevilla (60720)
1E6866AD643CAC96: Estadio de Mestalla, Valencia (55000)
FC671A311B9B75CC: Estadio San Mames, Bilbao (53332)
42A78BB096038174: Estadio Ramon Sanchez Pizjuan, Sevilla (45500)
8BDB6BC2DFFF004D: RCDE Stadium, Barcelona (40500)
7B57F963DC766F0F: Estadio Martinez Valero, Elche (38750)
5DB0CA8D06B15119: Estadio El Riazor, A Coruna (34611)
660E48F050D57853: Estadio La Romareda, Zaragoza (34596)
DFAA3462A4C3A1AD: Estadio Nueva Condomina, Murcia (33045)
94C3BA48DFF266B9: Estadio Gran Canaria, Las Palmas de Gran Canaria (32520)
5F183B973B91C72F: Estadio de Anoeta, San Sebastian (32076)
EF25DF3B732FBAAB: Estadio de Balaidos, Vigo (31800)
33EA1321EB535F3F: Estadio Carlos Tartiere, Oviedo (30500)
516B2C207C5CD1C7: Estadio La Rosaleda, Malaga (30044)
9EBA29398E657E13: Estadio El Molinon, Gijon (30000)
AA8DF4E104D0F151: Estadio Jose Rico Perez, Alicante (29584)
C5CAE83C48E89999: Estadio Nuevo Jose Zorrilla, Valladolid (26512)
B4699279019843F9: Estadio Ciutat de Valencia, Valencia (25354)
FD28C92F9EA9BC9A: Estadio de la Ceramica, Villarreal (25000)
6EC4D7426EC8F074: Heliodoro Rodriguez Lopez, Tenerife (24000)
E7235D56F412274E: Estadio El Sadar, Pamplona (23576)
65B50629507A71A7: Visit Mallorca Estadi, Mallorca (23142)
8112C3561876430F: Estadio El Sardinero, Santander (22500)
808641FE8F0851D7: Estadio Nuevo Chapin, Jerez (22000)
7EB9F3DF6B919226: Estadio del Mediterraneo, Almeria (22000)
34CA3F4A41D9DFB3: Estadio Nuevo Arcangel, Cordoba (21822)
6A3777EF1CABD526: Estadio Nuevo Colombino, Huelva (21670)
48E71A346088ED90: Estadio Nuevo Mirandilla, Cadiz (20742)
A59300C9FEF73AD0: Estadio Mendizorroza, Vitoria-Gasteiz (19900)
22608A11D6D758F9: Estadio Nuevo Los Carmenes, Granada (19336)
EDA5D3FD45B91A98: Estadio Nou Castalia, Castellon (18000)
6FEED3874F3C60D5: Estadio Balear, Palma de Mallorca (18000)
